trade_id,currency,trade_volume
TRD0014,USD,1000
TRD0094,USD,1000
TRD0174,USD,3000
TRD0043,USD,3000
TRD0049,USD,3000
TRD0196,USD,4000
TRD0006,USD,6000
TRD0083,USD,8000
TRD0199,USD,12000
TRD0062,USD,13000
TRD0099,USD,14000
TRD0067,USD,14000
TRD0042,USD,14000
TRD0038,USD,15000
TRD0093,USD,16000
TRD0033,USD,17000
TRD0100,USD,17000
TRD0171,USD,19000
TRD0135,USD,19000
TRD0087,USD,19000
TRD0194,USD,22000
TRD0086,USD,23000
TRD0073,USD,24000
TRD0064,USD,24000
TRD0044,USD,25000
TRD0103,USD,25000
TRD0106,USD,27000
TRD0121,USD,29000
TRD0057,USD,31000
TRD0167,USD,31000
TRD0090,USD,34000
TRD0120,USD,34000
TRD0185,USD,36000
TRD0019,USD,36000
TRD0034,USD,38000
TRD0200,USD,39000
TRD0008,USD,40000
TRD0068,USD,40000
TRD0027,USD,45000
TRD0159,USD,45000
TRD0018,USD,46000
TRD0116,USD,47000
TRD0079,USD,47000
TRD0126,USD,48000
TRD0182,USD,48000
TRD0150,USD,49000
TRD0085,USD,50000
TRD0140,USD,50000
TRD0112,USD,50000
TRD0045,USD,50000
TRD0113,GBP,1000
TRD0088,GBP,3000
TRD0197,GBP,3000
TRD0181,GBP,4000
TRD0051,GBP,8000
TRD0164,GBP,9000
TRD0063,GBP,10000
TRD0115,GBP,12000
TRD0032,GBP,13000
TRD0010,GBP,15000
TRD0136,GBP,16000
TRD0151,GBP,17000
TRD0021,GBP,17000
TRD0066,GBP,22000
TRD0076,GBP,22000
TRD0127,GBP,25000
TRD0024,GBP,27000
TRD0142,GBP,28000
TRD0152,GBP,29000
TRD0193,GBP,29000
TRD0186,GBP,30000
TRD0053,GBP,31000
TRD0177,GBP,31000
TRD0189,GBP,31000
TRD0175,GBP,31000
TRD0184,GBP,33000
TRD0023,GBP,36000
TRD0089,GBP,36000
TRD0178,GBP,37000
TRD0060,GBP,38000
TRD0137,GBP,38000
TRD0139,GBP,39000
TRD0074,GBP,39000
TRD0065,GBP,40000
TRD0030,GBP,42000
TRD0092,GBP,42000
TRD0148,GBP,42000
TRD0091,GBP,45000
TRD0166,GBP,47000
TRD0017,GBP,47000
TRD0138,GBP,48000
TRD0058,GBP,49000
TRD0098,EUR,1000
TRD0130,EUR,2000
TRD0168,EUR,2000
TRD0198,EUR,2000
TRD0107,EUR,3000
TRD0009,EUR,4000
TRD0156,EUR,4000
TRD0007,EUR,5000
TRD0048,EUR,5000
TRD0187,EUR,7000
TRD0022,EUR,7000
TRD0101,EUR,8000
TRD0028,EUR,8000
TRD0176,EUR,10000
TRD0011,EUR,10000
TRD0183,EUR,10000
TRD0108,EUR,12000
TRD0131,EUR,12000
TRD0144,EUR,12000
TRD0155,EUR,13000
TRD0001,EUR,14000
TRD0059,EUR,15000
TRD0031,EUR,15000
TRD0111,EUR,15000
TRD0118,EUR,16000
TRD0025,EUR,16000
TRD0143,EUR,16000
TRD0084,EUR,19000
TRD0169,EUR,20000
TRD0149,EUR,20000
TRD0109,EUR,22000
TRD0096,EUR,26000
TRD0192,EUR,27000
TRD0029,EUR,27000
TRD0146,EUR,28000
TRD0179,EUR,29000
TRD0075,EUR,29000
TRD0054,EUR,32000
TRD0035,EUR,32000
TRD0157,EUR,32000
TRD0050,EUR,34000
TRD0161,EUR,35000
TRD0134,EUR,35000
TRD0004,EUR,35000
TRD0128,EUR,37000
TRD0195,EUR,38000
TRD0104,EUR,39000
TRD0026,EUR,43000
TRD0036,EUR,44000
TRD0078,EUR,48000
TRD0122,EUR,48000
TRD0046,EUR,49000
TRD0055,EUR,49000
TRD0039,CNY,1000
TRD0110,CNY,2000
TRD0165,CNY,4000
TRD0016,CNY,4000
TRD0188,CNY,8000
TRD0040,CNY,10000
TRD0190,CNY,11000
TRD0047,CNY,11000
TRD0002,CNY,12000
TRD0052,CNY,14000
TRD0114,CNY,15000
TRD0097,CNY,15000
TRD0170,CNY,15000
TRD0095,CNY,17000
TRD0180,CNY,17000
TRD0081,CNY,18000
TRD0102,CNY,18000
TRD0124,CNY,20000
TRD0154,CNY,20000
TRD0041,CNY,21000
TRD0160,CNY,21000
TRD0172,CNY,21000
TRD0020,CNY,22000
TRD0119,CNY,22000
TRD0072,CNY,22000
TRD0077,CNY,23000
TRD0105,CNY,23000
TRD0133,CNY,23000
TRD0123,CNY,25000
TRD0015,CNY,28000
TRD0080,CNY,28000
TRD0071,CNY,30000
TRD0158,CNY,30000
TRD0162,CNY,31000
TRD0153,CNY,31000
TRD0037,CNY,33000
TRD0070,CNY,34000
TRD0003,CNY,34000
TRD0069,CNY,35000
TRD0056,CNY,35000
TRD0141,CNY,36000
TRD0132,CNY,36000
TRD0129,CNY,38000
TRD0117,CNY,38000
TRD0013,CNY,39000
TRD0061,CNY,40000
TRD0147,CNY,40000
TRD0125,CNY,41000
TRD0005,CNY,43000
TRD0145,CNY,44000
TRD0163,CNY,44000
TRD0082,CNY,44000
TRD0173,CNY,45000
TRD0012,CNY,46000
TRD0191,CNY,49000
