trade_id,entry_price,exit_price,difference
TRD0128,2.84,10.0,7.16
TRD0176,8.21,1.92,6.2900000000000009
TRD0127,8.1,1.32,6.7799999999999994
TRD0053,3.89,10.0,6.1099999999999994
TRD0121,7.48,1.34,6.1400000000000006
TRD0199,8.3,2.25,6.0500000000000007
TRD0071,2.72,8.89,6.17
TRD0062,1.63,9.07,7.44
TRD0086,1.28,8.7,7.419999999999999
TRD0160,9.38,1.45,7.9300000000000006
TRD0164,9.53,2.64,6.8899999999999988
TRD0077,3.6,9.86,6.26
TRD0188,9.31,1.26,8.05
TRD0029,3.26,9.44,6.18
TRD0036,2.99,9.31,6.32
TRD0102,9.53,2.35,7.18
TRD0198,8.24,2.13,6.11
TRD0047,9.83,3.75,6.08
TRD0005,9.05,1.63,7.4200000000000008
